충전소 아이디,충전소명,시도,위도,경도
2286,마포래미안푸르지오 3단지,서울특별시 마포구 아현동 마포대로 195,37.554041,126.951517
2285,마포래미안푸르지오 2단지,서울특별시 마포구 아현동 마포대로 195,37.553968,126.954621
2284,마포래미안푸르지오 1단지,서울특별시 마포구 아현동 마포대로 195,37.555274,126.95395
1861,창전삼성 아파트,서울특별시 마포구 창전동 서강로 95,37.551292,126.931494
1860,래미안밤섬리베뉴2,서울특별시 마포구 상수동 독막로20나길 21,37.546535,126.928136
1859,래미안마포리버웰,서울특별시 마포구 용강동 토정로31길 23,37.542217,126.94196
1858,대명 아파트,서울특별시 마포구 연남동 동교로39길 11,37.561672,126.92361
1372,한강대우,서울특별시 용산구 이촌동 이촌로 181,37.522509,126.970087
1371,용산한신 아파트,서울특별시 용산구 용산동2가 녹사평대로 245,37.540132,126.986764
1369,메세나폴리스 아파트,서울특별시 마포구 양화로 45,37.551047,126.913787
1368,마포대림1차 아파트,서울 마포구 용강동 500,37.540191,126.94172
1367,리첸시아용산B블록,서울특별시 용산구 원효로1가 백범로 341,37.537949,126.96833
1366,롯데캐슬프레지던트,서울특별시 마포구 공덕동 마포대로 109,37.544865,126.950739
1006,한남동현대하이페리온,서울특별시 용산구 한남동 서빙고로 413,37.527513,127.005005
1004,쌍용황금,서울특별시 마포구 마포동 마포대로 6,37.537126,126.94564
1003,e편한세상마포리버파크,서울특별시 마포구 용강동 토정로31길 24,37.541996,126.943692
825,한강삼성 아파트,서울특별시 마포구 토정동 토정로32길 11,37.539554,126.941169
824,프라임팰리스,서울특별시 용산구 문배동 백범로90길 38,37.536688,126.969599
823,파크타워 아파트,서울특별시 용산구 용산동5가 서빙고로 67,37.524518,126.970654
821,용산아크로타워,서울특별시 용산구 문배동 백범로90길 26,37.536829,126.968616
820,용산시티파크1단지,서울특별시 용산구 한강로3가 서빙고로 35,37.52434,126.970394
819,용산더프라임,서울특별시 용산구 원효로1가 원효로90길 11,37.539693,126.969936
818,성지(주상복합) 아파트,서울특별시 마포구 도화동 큰우물로 75,37.541242,126.94639
816,래미안첼리투스,서울특별시 용산구 이촌동 이촌로 300,37.516747,126.97943
815,래미안밤섬리베뉴1 아파트,서울특별시 마포구 상수동 독막로20나길 22,37.546107,126.924993
814,LG한강자이 아파트,서울특별시 용산구 이촌동 이촌로64길 15,37.519278,126.970777
593,청암자이 아파트,서울특별시 용산구 삼개로 60 (청암동_천년명가 청암자이),37.534841,126.947209
592,리첸시아 아파트,서울특별시 용산구 백범로 341,37.538278,126.967441
591,동아그린 아파트,서울특별시 용산구 이촌로 100-8,37.523167,126.957891
194,상암월드컵경기장,서울특별시 마포구 성산동 531,37.5683831,126.8949428
13,마포용산지사,서울특별시 마포구 도화동 51-3,37.5420523,126.9466327
8117,서대문은평지사(공용),서울특별시 은평구 통일로 659,37.605443,126.933577
5064,연세세브란스 에비슨의생명 연구센터,서울특별시 서대문구 신촌동 134,37.5640189,126.9423457
4932,연희동 홍연2교 옆 노상주차장,서울특별시 서대문구 연희동 736,37.577512,126.9310401
3997,은평스카이뷰자이아파트,서울특별시 은평구 진관동 62,37.6349011,126.9177912
3996,한국프라우드아파트,서울특별시 은평구 역촌동 9-54,37.606273,126.9156964
3995,서부수도사업소,서울특별시 서대문구 홍제동 38-69,37.5828902,126.9523506
3813,연세대학교,서울특별시 서대문구 신촌동 134,37.5605046,126.9370543
3601,DMC센트럴아이파크아파트,서울특별시 서대문구 남가좌동 388,37.5793624,126.9208402
3146,연희동성원아파트,서울특별시 서대문구 연희로32길 48 (연희동_연희동성원아파트),37.57626,126.939017
2543,서북병원,서울특별시 은평구 역촌동 산 31-1,37.6043082,126.9037141
1857,연희대우 아파트,서울특별시 서대문구 연희동 739,37.5615205,126.9295147
1362,은평뉴타운우물골6단지,서울특별시 은평구 진관동 81,37.6351748,126.9237807
1361,남가좌삼성 아파트,서울특별시 서대문구 남가좌동 377,37.5777836,126.9165298
1002,돈의문센트레빌 아파트,서울특별시 서대문구 냉천동 261,37.566245,126.962026
810,무악청구2차 아파트,서울특별시 서대문구 홍제동 453-1,37.5812596,126.9515062
809,DMC아이파크 아파트,서울특별시 서대문구 북가좌동 458,37.5763943,126.9145267
808,DMC래미안e편한세상,서울특별시 서대문구 북가좌동 481,37.5726489,126.9105507
324,홍은1동 제4공영주차장,서울특별시 서대문구 홍은동 11-23,37.6014042,126.9489614
286,서울특별시은평병원 주차장,서울특별시 은평구 백련산로 90,37.594371,126.923464
215,은평평화공원 공영주차장,서울특별시 은평구 녹번동 153-1,37.604979,126.923072
208,응암3동 공영주차장,서울특별시 은평구 불광천길 436 (응암동_응암공영주차장),37.593538,126.915227
141,서대문은평지사,서울특별시 은평구 통일로 659,37.605443,126.933577
8083,영등포전력지사(공용),서울특별시 영등포구 경인로 878,37.517367,126.910236
8082,남서울직할(공용),서울특별시 영등포구 여의도동 21,37.5272919,126.9298532
5793,신길역사 주차장,서울특별시 영등포구 신길동 53,37.5159809,126.9175344
5639,영등포 제1스포츠센터,서울특별시 영등포구 신길동 426-3,37.500314,126.906495
5544,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80,37.5199036,126.8935148
5436,영등포구청 환승공영주차장,서울특별시 영등포구 당산동3가 370-4,37.5244906,126.8957236
5284,영등포구민회관,서울특별시 영등포구 당산동3가 3,37.5261425,126.9000283
5263,여의도KBS (본관_신관),서울특별시 영등포구 여의도동 18,37.5251721,126.9172303
5238,서울영등포우체국,서울특별시 영등포구 당산동4가 93-6,37.5296261,126.8949565
4616,당산근린지하공영주차장,서울특별시 영등포구 당산동3가 385,37.5255122,126.8957694
4052,문래힐스테이트,서울특별시 영등포구 문래동3가 94,37.51872,126.89107
4050,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540,37.50276,126.91541
3610,문래건영아파트,서울특별시 영등포구 문래동3가 93-1,37.5182764,126.8925386
3266,대림운동장 공영주차장,서울특별시 영등포구 대림동 780,37.4990685,126.8942003
3265,대림어린이공원 공영주차장,서울특별시 영등포구 대림동 870,37.4910844,126.9033538
2991,양평한신아파트,서울특별시 영등포구 양평동5가 76,37.5400711,126.8920208
2726,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12,37.5162769,126.8973918
2350,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127,37.5202413,126.9264085
2273,보라매벚꽃마을아파트,서울특별시 영등포구 신길동 대방천로14길 34,37.495921,126.9101936
942,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66,37.5103939,126.9001777
940,문래금호어울림 아파트,서울특별시 영등포구 문래동3가 97,37.5191773,126.8975089
734,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,37.5051397,126.9145979
732,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1,37.5055256,126.8957519
731,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1,37.5211288,126.893332
530,영등포레미안 아파트,서울특별시 영등포구 신길동 4945,37.5049406,126.9074017
296,영등포전력지사,서울특별시 영등포구 경인로 878,37.517367,126.910236
21,남서울직할(영등포)지사(공용),서울특별시 영등포구 문래동3가 80,37.5199036,126.8935148
20,남서울직할,서울특별시 영등포구 여의도동 21,37.5272919,126.9298532
18,국회의사당,서울특별시 영등포구 여의도동 1,37.5326966,126.9142123
5264,공무원연금공단 서울지부(상록회관),서울특별시 강남구 역삼동 701,37.5040998,127.0429444
3768,대치2문화센터 공영주차장,서울특별시 강남구 대치동 980-9,37.502333,127.0642142
3679,우정에쉐르 3차,서울특별시 강남구 대치동 950,37.5068751,127.0622276
3323,역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12,37.496746,127.051602
3296,라테라스삼성,서울특별시 강남구 삼성동 봉은사로 645,37.515489,127.065721
3233,삼성동한일아파트,서울특별시 강남구 삼성동 48,37.5139403,127.0500344
3148,세곡리엔파크1단지,서울특별시 강남구 세곡동 508,37.4641001,127.1009689
3147,개나리푸르지오,서울특별시 강남구 역삼동 755-1,37.4996776,127.0495726
